Feature,Importance,Std
home_shots_for_ewm10,0.015706806282722485,0.015531305732137513
home_goals_for_l5,0.009424083769633473,0.006105708790413917
home_shot_quality_ewm10,0.002094240837696304,0.015029005334457921
Unnamed: 120,0.0,0.0
PPH,0.0,0.0
Unnamed: 121,0.0,0.0
HxG,0.0,0.0
AxG,0.0,0.0
SKBH,0.0,0.0
PPA,0.0,0.0
PPD,0.0,0.0
SKBD,0.0,0.0
PPCA,0.0,0.0
SKBCH,0.0,0.0
PPCH,0.0,0.0
SKBA,0.0,0.0
SKBCA,0.0,0.0
SKBCD,0.0,0.0
AwayTeamPointsLast5,0.0,0.0
HomeTeamPointsLast5,0.0,0.0
AwayRestDays,0.0,0.0
HomeRestDays,0.0,0.0
PPCD,0.0,0.0
away_points_l5,-2.2204460492503132e-17,0.007404259488864357
away_goals_for_l5,-2.2204460492503132e-17,0.009933856524089136
home_history_n,-0.0010471204188481687,0.0020942408376963375
home_clean_sheet_l10,-0.0010471204188481798,0.003917965850025055
away_shot_quality_ewm10,-0.0020942408376963596,0.013891622158556643
away_clean_sheet_l10,-0.0020942408376963596,0.010780764545536116
home_points_l5,-0.004188481675392685,0.009007670436693841
home_shots_against_ewm10,-0.004188481675392697,0.014955871054539995
away_shots_for_ewm10,-0.00837696335078536,0.00971059528324157
away_history_n,-0.011518324607329855,0.002094240837696337
away_goals_against_l5,-0.012565445026178023,0.007101916212696623
away_goal_diff_l10,-0.012565445026178023,0.007101916212696623
away_rest_days,-0.013612565445026193,0.005339287448788262
home_goals_against_l5,-0.014659685863874361,0.00900767043669386
home_goal_diff_l10,-0.0167539267015707,0.00900767043669386
away_shots_against_ewm10,-0.019895287958115203,0.009597017162211193
home_rest_days,-0.025130890052356046,0.012121295186167788
